arch,name,features,unsafe,stability,file,doc,signature,instruction
x86_64,_mm256_div_ps,avx,False,stable,avx.rs,Computes the division of each of the 8 packed 32-bit floating-point elements in `a` by the corresponding packed elements in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_div_ps),"fn _mm256_div_ps(a: __m256, b: __m256) -> __m256",vdivps
x86_64,_mm256_div_pd,avx,False,stable,avx.rs,Computes the division of each of the 4 packed 64-bit floating-point elements in `a` by the corresponding packed elements in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_div_pd),"fn _mm256_div_pd(a: __m256d, b: __m256d) -> __m256d",vdivpd
x86_64,_mm256_round_pd,avx,False,stable,avx.rs,"Rounds packed double-precision (64-bit) floating point elements in `a` according to the flag `ROUNDING`. The value of `ROUNDING` may be as follows:  - `0x00`: Round to the nearest whole number. - `0x01`: Round down, toward negative infinity. - `0x02`: Round up, toward positive infinity. - `0x03`: Truncate the values.  For a complete list of options, check [the LLVM docs][llvm_docs].  [llvm_docs]: https://github.com/llvm-mirror/clang/blob/dcd8d797b20291f1a6b3e0ddda085aa2bbb382a8/lib/Headers/avxintrin.h#L382  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_round_pd)",fn _mm256_round_pd<ROUNDING: i32>(a: __m256d) -> __m256d,vroundpd
x86_64,_mm256_ceil_pd,avx,False,stable,avx.rs,Rounds packed double-precision (64-bit) floating point elements in `a` toward positive infinity.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_ceil_pd),fn _mm256_ceil_pd(a: __m256d) -> __m256d,vroundpd
x86_64,_mm256_floor_pd,avx,False,stable,avx.rs,Rounds packed double-precision (64-bit) floating point elements in `a` toward negative infinity.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_floor_pd),fn _mm256_floor_pd(a: __m256d) -> __m256d,vroundpd
x86_64,_mm256_round_ps,avx,False,stable,avx.rs,"Rounds packed single-precision (32-bit) floating point elements in `a` according to the flag `ROUNDING`. The value of `ROUNDING` may be as follows:  - `0x00`: Round to the nearest whole number. - `0x01`: Round down, toward negative infinity. - `0x02`: Round up, toward positive infinity. - `0x03`: Truncate the values.  For a complete list of options, check [the LLVM docs][llvm_docs].  [llvm_docs]: https://github.com/llvm-mirror/clang/blob/dcd8d797b20291f1a6b3e0ddda085aa2bbb382a8/lib/Headers/avxintrin.h#L382  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_round_ps)",fn _mm256_round_ps<ROUNDING: i32>(a: __m256) -> __m256,vroundps
x86_64,_mm256_ceil_ps,avx,False,stable,avx.rs,Rounds packed single-precision (32-bit) floating point elements in `a` toward positive infinity.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_ceil_ps),fn _mm256_ceil_ps(a: __m256) -> __m256,vroundps
x86_64,_mm256_floor_ps,avx,False,stable,avx.rs,Rounds packed single-precision (32-bit) floating point elements in `a` toward negative infinity.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_floor_ps),fn _mm256_floor_ps(a: __m256) -> __m256,vroundps
x86_64,_mm256_sqrt_ps,avx,False,stable,avx.rs,Returns the square root of packed single-precision (32-bit) floating point elements in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_sqrt_ps),fn _mm256_sqrt_ps(a: __m256) -> __m256,vsqrtps
x86_64,_mm256_sqrt_pd,avx,False,stable,avx.rs,Returns the square root of packed double-precision (64-bit) floating point elements in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_sqrt_pd),fn _mm256_sqrt_pd(a: __m256d) -> __m256d,vsqrtpd
x86_64,_mm256_blend_pd,avx,False,stable,avx.rs,Blends packed double-precision (64-bit) floating-point elements from `a` and `b` using control mask `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_blend_pd),"fn _mm256_blend_pd<IMM4: i32>(a: __m256d, b: __m256d) -> __m256d",vblendpd
x86_64,_mm256_blend_ps,avx,False,stable,avx.rs,Blends packed single-precision (32-bit) floating-point elements from `a` and `b` using control mask `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_blend_ps),"fn _mm256_blend_ps<IMM8: i32>(a: __m256, b: __m256) -> __m256",vblendps
x86_64,_mm256_blendv_pd,avx,False,stable,avx.rs,Blends packed double-precision (64-bit) floating-point elements from `a` and `b` using `c` as a mask.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_blendv_pd),"fn _mm256_blendv_pd(a: __m256d, b: __m256d, c: __m256d) -> __m256d",vblendvpd
x86_64,_mm256_blendv_ps,avx,False,stable,avx.rs,Blends packed single-precision (32-bit) floating-point elements from `a` and `b` using `c` as a mask.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_blendv_ps),"fn _mm256_blendv_ps(a: __m256, b: __m256, c: __m256) -> __m256",vblendvps
x86_64,_mm256_dp_ps,avx,False,stable,avx.rs,"Conditionally multiplies the packed single-precision (32-bit) floating-point elements in `a` and `b` using the high 4 bits in `imm8`, sum the four products, and conditionally return the sum using the low 4 bits of `imm8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_dp_ps)","fn _mm256_dp_ps<IMM8: i32>(a: __m256, b: __m256) -> __m256",vdpps
x86_64,_mm256_hadd_pd,avx,False,stable,avx.rs,"Horizontal addition of adjacent pairs in the two packed vectors of 4 64-bit floating points `a` and `b`. In the result, sums of elements from `a` are returned in even locations, while sums of elements from `b` are returned in odd locations.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_hadd_pd)","fn _mm256_hadd_pd(a: __m256d, b: __m256d) -> __m256d",vhaddpd
x86_64,_mm256_hadd_ps,avx,False,stable,avx.rs,"Horizontal addition of adjacent pairs in the two packed vectors of 8 32-bit floating points `a` and `b`. In the result, sums of elements from `a` are returned in locations of indices 0, 1, 4, 5; while sums of elements from `b` are locations 2, 3, 6, 7.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_hadd_ps)","fn _mm256_hadd_ps(a: __m256, b: __m256) -> __m256",vhaddps
x86_64,_mm256_hsub_pd,avx,False,stable,avx.rs,"Horizontal subtraction of adjacent pairs in the two packed vectors of 4 64-bit floating points `a` and `b`. In the result, sums of elements from `a` are returned in even locations, while sums of elements from `b` are returned in odd locations.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_hsub_pd)","fn _mm256_hsub_pd(a: __m256d, b: __m256d) -> __m256d",vhsubpd
x86_64,_mm256_hsub_ps,avx,False,stable,avx.rs,"Horizontal subtraction of adjacent pairs in the two packed vectors of 8 32-bit floating points `a` and `b`. In the result, sums of elements from `a` are returned in locations of indices 0, 1, 4, 5; while sums of elements from `b` are locations 2, 3, 6, 7.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_hsub_ps)","fn _mm256_hsub_ps(a: __m256, b: __m256) -> __m256",vhsubps
x86_64,_mm256_xor_pd,avx,False,stable,avx.rs,Computes the bitwise XOR of packed double-precision (64-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_xor_pd),"fn _mm256_xor_pd(a: __m256d, b: __m256d) -> __m256d",vxorp
x86_64,_mm256_xor_ps,avx,False,stable,avx.rs,Computes the bitwise XOR of packed single-precision (32-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_xor_ps),"fn _mm256_xor_ps(a: __m256, b: __m256) -> __m256",vxorps
x86_64,_mm_cmp_pd,avx,False,stable,avx.rs,Compares packed double-precision (64-bit) floating-point elements in `a` and `b` based on the comparison operand specified by `IMM5`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_cmp_pd),"fn _mm_cmp_pd<IMM5: i32>(a: __m128d, b: __m128d) -> __m128d",vcmpeqpd
x86_64,_mm256_cmp_pd,avx,False,stable,avx.rs,Compares packed double-precision (64-bit) floating-point elements in `a` and `b` based on the comparison operand specified by `IMM5`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_cmp_pd),"fn _mm256_cmp_pd<IMM5: i32>(a: __m256d, b: __m256d) -> __m256d",vcmpeqpd
